Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-09-29,14614.8798828125,14676.6201171875,14493.669921875,14512.4404296875,5246170000,0,0
2021-09-30,14582.599609375,14632.3603515625,14444.2998046875,14448.580078125,5910550000,0,0
2021-10-01,14494.9296875,14606.8203125,14324.009765625,14566.7001953125,4688550000,0,0
2021-10-04,14493.1201171875,14499.740234375,14181.6904296875,14255.48046875,4539650000,0,0
2021-10-05,14312.900390625,14508.6474609375,14299.78125,14433.830078125,3723041000,0,0
