DATE,OPEN,HIGH,LOW,CLOSE
9/29/2021,22.07,23.79,21.45,22.56
9/30/2021,21.48,24.71,20.6,23.14
10/1/2021,24.78,24.89,20.64,21.15
10/4/2021,21.91,0,0,0
10/5/2021,22.36,0,0,0
